months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,payment_Credit Card,payment_Mailed Check
0.0,0,0.09411764705882353,0,0,1,0,0,0.0,1,0.21293532338308457,0.5,1,1,0,0,0,0,0,0,0,0,0
0.0,1,0.2,0,1,0,0,1,0.0,1,0.6208955223880598,0.5,1,0,1,0,0,0,0,0,1,1,0
0.25,1,0.611764705882353,0,0,0,0,1,0.0,1,0.7681592039800995,0.25,1,0,1,0,0,0,0,1,0,0,0
0.25,0,0.1411764705882353,0,1,1,0,1,0.0,1,0.7985074626865671,0.25,1,0,1,0,0,0,1,0,0,0,0
0.5,1,0.16470588235294117,0,0,0,0,1,0.0,1,0.5796019900497512,0.25,1,0,1,0,0,0,1,0,0,0,0
0.25,1,0.21176470588235294,0,0,1,0,0,0.0,1,0.5950248756218905,0.0,1,0,1,0,0,0,1,0,0,0,0
0.0,0,0.3529411764705882,0,0,0,0,1,0.0,1,0.5194029850746269,0.25,1,0,1,0,0,0,0,0,1,0,1
1.0,0,0.2823529411764706,0,1,1,0,1,0.0,1,0.2691542288557213,0.0,1,1,0,0,0,1,0,0,0,0,0
0.0,1,0.22352941176470587,0,0,0,0,1,0.0,1,0.5592039800995025,0.25,1,0,1,0,0,0,0,1,0,0,1
0.0,0,0.21176470588235294,1,0,0,0,0,0.0,0,0.5791044776119403,0.25,1,0,1,0,0,0,0,0,1,0,0
0.0,0,0.3411764705882353,0,1,0,0,0,0.0,1,0.763681592039801,0.0,1,0,1,0,0,0,0,1,0,0,0
0.0,0,0.3411764705882353,0,1,0,0,1,0.0,1,0.5587064676616916,0.0,1,0,1,0,0,0,0,1,0,0,0
0.0,0,0.1411764705882353,0,1,0,0,1,0.0,0,0.218407960199005,0.25,1,1,0,0,0,0,0,0,1,0,0
0.0,0,0.32941176470588235,0,0,1,0,1,0.0,1,0.22786069651741292,0.25,1,1,0,0,0,0,0,0,1,0,0
0.0,1,0.12941176470588234,0,1,1,0,0,0.0,1,0.882089552238806,0.0,1,0,0,0,0,0,0,1,0,0,0
0.25,0,0.10588235294117647,0,0,0,1,1,0.0,1,0.7582089552238807,0.0,1,0,1,0,0,0,0,1,0,0,0
0.0,0,0.08235294117647059,0,1,0,0,1,0.0,1,0.5597014925373134,0.25,1,0,1,0,0,0,0,0,0,0,0
0.25,1,0.1764705882352941,0,0,0,0,1,0.0,1,0.5756218905472636,0.25,1,0,1,0,0,0,1,0,0,0,0
0.0,1,0.023529411764705882,0,0,0,0,1,0.0,1,0.7681592039800995,0.5,1,0,1,0,0,0,0,0,1,0,0
0.5,1,0.11764705882352941,0,0,0,0,1,0.0,1,0.5636815920398011,0.25,1,0,1,0,0,0,1,0,0,0,0
0.25,0,0.1411764705882353,0,0,1,0,1,0.0,1,0.7452736318407961,0.25,1,0,0,0,0,0,1,0,0,0,0
0.75,1,0.058823529411764705,1,1,0,1,1,0.5,0,0.6388059701492538,0.0,1,1,0,0,0,1,0,0,0,0,0
0.0,0,0.11764705882352941,0,0,0,0,1,0.0,1,0.5184079601990049,0.5,1,0,1,0,0,0,0,0,1,0,0
0.25,0,0.09411764705882353,1,0,0,0,1,0.0,1,0.23532338308457706,0.0,1,0,0,0,0,0,0,0,0,0,0
0.25,0,0.15294117647058825,1,0,0,0,0,0.0,0,0.12437810945273631,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0,0,0.0,0,0,0,0,0,0.0,0,0.01691542288557213,0.0,1,0,0,1,0,0,0,0,0,0,1
0.75,1,0.3176470588235294,0,1,1,0,0,0.0,1,0.6686567164179105,0.0,1,0,1,0,0,1,0,0,0,0,0
0.0,1,0.16470588235294117,0,1,0,0,1,0.0,1,0.6278606965174128,0.0,1,0,1,0,0,0,0,0,1,0,0
0.0,0,0.2,0,0,1,0,0,0.0,1,0.5676616915422885,0.25,1,0,1,0,0,0,0,0,1,0,0
0.0,0,0.3058823529411765,0,1,0,0,1,0.0,0,0.10149253731343283,0.25,1,1,0,0,0,0,0,0,1,0,0
0.25,1,0.1411764705882353,0,1,1,0,0,0.0,1,0.7547263681592039,0.0,1,0,1,0,0,0,0,0,0,0,0
0.0,1,0.2588235294117647,0,0,0,0,1,0.0,1,0.5582089552238805,0.0,1,0,1,0,0,0,0,0,1,0,0
0.25,0,0.29411764705882354,1,0,0,0,1,0.0,1,0.5666666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0
0.0,1,0.2823529411764706,0,0,1,0,1,0.0,1,0.7059701492537314,0.0,1,0,0,0,0,0,0,0,0,0,0
0.0,1,0.24705882352941178,0,0,0,0,1,0.0,1,0.6711442786069651,0.0,1,0,1,0,0,0,0,0,0,0,0
1.0,1,0.32941176470588235,1,0,1,0,1,0.0,0,0.8656716417910447,0.0,1,0,1,0,0,1,0,0,0,0,0
0.75,1,0.16470588235294117,0,1,0,0,1,0.0,0,0.7144278606965173,0.25,1,0,1,0,0,1,0,0,0,1,0
0.5,1,0.058823529411764705,0,1,1,1,1,0.0,1,0.9203980099502488,0.25,1,0,1,0,0,1,0,0,0,0,0
0.75,1,0.1411764705882353,1,0,1,0,1,0.5,1,0.8587064676616915,0.0,1,0,1,0,0,1,0,0,0,0,0
0.25,1,0.11764705882352941,0,0,0,0,1,0.0,1,0.7592039800995024,0.0,1,0,1,0,0,0,0,0,0,0,0
0.0,1,0.22352941176470587,0,1,0,0,1,0.0,0,0.708955223880597,0.25,1,0,1,0,0,0,0,0,0,0,0
0.0,0,0.0,0,0,0,0,0,0.0,0,0.013930348258706454,0.25,1,0,0,1,0,0,0,0,0,0,0
0.75,0,0.21176470588235294,0,1,0,0,0,0.0,1,0.30746268656716413,0.25,1,1,0,0,0,0,0,0,0,0,0
0.0,0,0.3176470588235294,1,0,0,0,1,0.0,1,0.30845771144278605,0.25,1,1,0,0,0,0,0,0,0,0,0
0.5,1,0.09411764705882353,0,0,0,0,1,0.0,1,0.7587064676616915,0.5,1,0,1,0,0,0,0,0,0,0,0
0.5,1,0.22352941176470587,1,1,1,0,1,0.0,0,0.7308457711442786,0.0,1,0,1,0,0,0,0,0,0,1,0
0.25,1,0.15294117647058825,0,0,1,0,0,0.0,1,0.7990049751243781,0.5,1,0,1,0,0,0,0,0,0,0,0
0.75,1,0.23529411764705882,1,1,1,0,1,0.5,1,0.9129353233830845,0.0,1,0,1,0,0,0,0,0,0,0,0
0.0,1,0.12941176470588234,0,0,0,0,1,0.0,1,0.7696517412935323,0.5,1,0,0,0,0,0,0,0,0,0,0
0.0,0,0.21176470588235294,0,0,0,0,1,0.0,1,0.6029850746268656,0.5,1,0,1,0,0,0,0,0,0,0,0
