DATE,LTOTALNSA
1976-01-01,864.6
1976-02-01,973.3
1976-03-01,1216.1
1976-04-01,1163.2
1976-05-01,1176.1
1976-06-01,1224.9
1976-07-01,1130.1
1976-08-01,994.9
1976-09-01,1024.9
1976-10-01,1103.7
1976-11-01,1062.0
1976-12-01,1036.0
1977-01-01,945.0
1977-02-01,1065.4
1977-03-01,1414.0
1977-04-01,1320.3
1977-05-01,1344.7
1977-06-01,1424.5
1977-07-01,1171.3
1977-08-01,1201.2
1977-09-01,1073.8
1977-10-01,1306.5
1977-11-01,1154.1
1977-12-01,1061.1
1978-01-01,906.2
1978-02-01,1043.2
1978-03-01,1436.5
1978-04-01,1368.4
1978-05-01,1516.6
1978-06-01,1505.5
1978-07-01,1248.7
1978-08-01,1283.9
1978-09-01,1067.4
1978-10-01,1356.5
1978-11-01,1216.6
1978-12-01,1031.5
1979-01-01,1046.3
1979-02-01,1115.3
1979-03-01,1441.9
1979-04-01,1266.4
1979-05-01,1337.1
1979-06-01,1149.8
1979-07-01,1127.6
1979-08-01,1176.2
1979-09-01,1002.6
1979-10-01,1163.3
1979-11-01,994.5
1979-12-01,937.4
1980-01-01,1017.8
1980-02-01,1015.5
1980-03-01,1116.1
1980-04-01,924.5
1980-05-01,873.8
1980-06-01,909.5
1980-07-01,979.4
1980-08-01,859.1
1980-09-01,823.5
1980-10-01,1019.3
1980-11-01,855.0
1980-12-01,804.0
1981-01-01,795.4
1981-02-01,932.3
1981-03-01,1156.9
1981-04-01,937.5
1981-05-01,914.7
1981-06-01,924.2
1981-07-01,875.4
1981-08-01,990.1
1981-09-01,846.6
1981-10-01,803.7
1981-11-01,730.3
1981-12-01,656.5
1982-01-01,698.4
1982-02-01,826.3
1982-03-01,1039.4
1982-04-01,858.3
1982-05-01,1003.2
1982-06-01,851.3
1982-07-01,810.9
1982-08-01,779.9
1982-09-01,876.4
1982-10-01,827.5
1982-11-01,961.0
1982-12-01,824.7
1983-01-01,775.8
1983-02-01,809.8
1983-03-01,1084.6
1983-04-01,997.1
1983-05-01,1096.0
1983-06-01,1189.5
1983-07-01,1034.9
1983-08-01,976.4
1983-09-01,963.7
1983-10-01,1108.7
1983-11-01,1035.6
1983-12-01,1035.0
1984-01-01,1041.0
1984-02-01,1140.3
1984-03-01,1329.7
1984-04-01,1222.1
1984-05-01,1426.5
