"Month","Mean monthly temperature, 1907 ? 1972"
"1907-01",33.3
"1907-02",46.0
"1907-03",43.0
"1907-04",55.0
"1907-05",51.8
"1907-06",57.5
"1907-07",74.8
"1907-08",75.6
"1907-09",66.3
"1907-10",46.2
"1907-11",37.8
"1907-12",37.6
"1908-01",35.6
"1908-02",35.2
"1908-03",48.1
"1908-04",50.0
"1908-05",46.8
"1908-06",64.6
"1908-07",81.0
"1908-08",74.9
"1908-09",64.9
"1908-10",45.5
"1908-11",41.4
"1908-12",31.6
"1909-01",40.0
"1909-02",38.4
"1909-03",40.8
"1909-04",52.8
"1909-05",58.2
"1909-06",72.1
"1909-07",76.3
"1909-08",76.0
"1909-09",64.8
"1909-10",52.6
"1909-11",43.6
"1909-12",27.2
"1910-01",30.1
"1910-02",36.2
"1910-03",50.2
"1910-04",56.0
"1910-05",66.0
"1910-06",72.7
"1910-07",78.1
"1910-08",77.0
"1910-09",65.7
"1910-10",54.4
"1910-11",45.0
"1910-12",39.1
"1911-01",38.1
"1911-02",33.4
"1911-03",46.8
"1911-04",48.0
"1911-05",56.0
"1911-06",70.0
"1911-07",77.2
"1911-08",75.0
"1911-09",64.3
"1911-10",52.6
"1911-11",39.6
"1911-12",29.3
"1912-01",29.2
"1912-02",42.9
"1912-03",44.3
"1912-04",48.5
"1912-05",55.5
"1912-06",68.0
"1912-07",74.1
"1912-08",78.2
"1912-09",65.2
"1912-10",53.4
"1912-11",46.1
"1912-12",45.7
"1913-01",29.4
"1913-02",33.4
"1913-03",41.9
"1913-04",52.4
"1913-05",59.9
"1913-06",64.5
"1913-07",71.2
"1913-08",73.4
"1913-09",66.8
"1913-10",52.8
"1913-11",44.4
"1913-12",32.0
"1914-01",38.6
"1914-02",38.7
"1914-03",48.2
"1914-04",51.9
"1914-05",62.3
"1914-06",66.6
"1914-07",79.0
"1914-08",78.2
"1914-09",65.9
"1914-10",55.1
"1914-11",46.4
"1914-12",29.8
"1915-01",32.8
"1915-02",39.6
"1915-03",45.5
"1915-04",51.4
"1915-05",54.2
"1915-06",65.9
"1915-07",75.2
"1915-08",77.8
"1915-09",63.5
"1915-10",55.6
"1915-11",43.0
"1915-12",37.8
"1916-01",26.4
"1916-02",36.6
"1916-03",47.6
"1916-04",53.4
"1916-05",56.3
"1916-06",66.6
"1916-07",79.5
"1916-08",76.4
"1916-09",64.7
"1916-10",49.4
"1916-11",37.2
"1916-12",29.2
"1917-01",20.4
"1917-02",35.2
"1917-03",36.2
"1917-04",46.8
"1917-05",54.5
"1917-06",69.6
"1917-07",80.4
"1917-08",75.4
"1917-09",65.9
"1917-10",59.6
"1917-11",47.6
"1917-12",38.5
"1918-01",34.2
"1918-02",34.2
"1918-03",42.6
"1918-04",47.1
"1918-05",55.2
"1918-06",73.1
"1918-07",72.8
